file,packet_len,inter_arrival_time
sample_encrypted_traffic.pcapng,1292,0.00010
sample_encrypted_traffic.pcapng,76,0.00002
sample_encrypted_traffic.pcapng,1292,0.000413
sample_encrypted_traffic.pcapng,1292,0.000121
sample_encrypted_traffic.pcapng,1292,0.000183
sample_encrypted_traffic.pcapng,1292,0.000115
sample_encrypted_traffic.pcapng,1292,0.000154
sample_encrypted_traffic.pcapng,81,0.000114
sample_encrypted_traffic.pcapng,1292,0.000037
sample_encrypted_traffic.pcapng,1292,0.000146
sample_encrypted_traffic.pcapng,1292,0.006049
sample_encrypted_traffic.pcapng,1292,0.000114
sample_encrypted_traffic.pcapng,1292,0.000113
sample_encrypted_traffic.pcapng,76,0.000089
sample_encrypted_traffic.pcapng,1292,0.000051
sample_encrypted_traffic.pcapng,1292,0.000194
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,1292,0.000071
sample_encrypted_traffic.pcapng,1292,0.000185
sample_encrypted_traffic.pcapng,1292,0.000112
sample_encrypted_traffic.pcapng,1292,0.000177
sample_encrypted_traffic.pcapng,76,0.000187
sample_encrypted_traffic.pcapng,1292,0.002146
sample_encrypted_traffic.pcapng,1292,0.000171
sample_encrypted_traffic.pcapng,1292,0.000050
sample_encrypted_traffic.pcapng,1292,0.000212
sample_encrypted_traffic.pcapng,1292,0.000125
sample_encrypted_traffic.pcapng,1292,0.000145
sample_encrypted_traffic.pcapng,1292,0.000120
sample_encrypted_traffic.pcapng,1292,0.000185
sample_encrypted_traffic.pcapng,1292,0.000120
sample_encrypted_traffic.pcapng,77,0.000167
sample_encrypted_traffic.pcapng,1292,0.000020
sample_encrypted_traffic.pcapng,1292,0.000236
sample_encrypted_traffic.pcapng,1292,0.000176
sample_encrypted_traffic.pcapng,1292,0.000426
sample_encrypted_traffic.pcapng,1292,0.000103
sample_encrypted_traffic.pcapng,77,0.000133
sample_encrypted_traffic.pcapng,1292,0.000004
sample_encrypted_traffic.pcapng,1292,0.000177
sample_encrypted_traffic.pcapng,1292,0.000130
sample_encrypted_traffic.pcapng,1292,0.000154
sample_encrypted_traffic.pcapng,1292,0.000169
sample_encrypted_traffic.pcapng,1292,0.000117
sample_encrypted_traffic.pcapng,1292,0.000160
sample_encrypted_traffic.pcapng,1292,0.000153
sample_encrypted_traffic.pcapng,77,0.000039
sample_encrypted_traffic.pcapng,1292,0.000219
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,1292,0.000369
sample_encrypted_traffic.pcapng,1292,0.000185
sample_encrypted_traffic.pcapng,1292,0.000128
sample_encrypted_traffic.pcapng,77,0.000125
sample_encrypted_traffic.pcapng,1292,0.000004
sample_encrypted_traffic.pcapng,1292,0.000205
sample_encrypted_traffic.pcapng,1292,0.000128
sample_encrypted_traffic.pcapng,1292,0.000124
sample_encrypted_traffic.pcapng,1292,0.000167
sample_encrypted_traffic.pcapng,1292,0.000133
sample_encrypted_traffic.pcapng,1292,0.000164
sample_encrypted_traffic.pcapng,77,0.000171
sample_encrypted_traffic.pcapng,1292,0.000105
sample_encrypted_traffic.pcapng,1292,0.000105
sample_encrypted_traffic.pcapng,1292,0.000763
sample_encrypted_traffic.pcapng,1292,0.000119
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,77,0.000002
sample_encrypted_traffic.pcapng,1292,0.000116
sample_encrypted_traffic.pcapng,1292,0.000152
sample_encrypted_traffic.pcapng,1292,0.000146
sample_encrypted_traffic.pcapng,1292,0.000147
sample_encrypted_traffic.pcapng,1292,0.000143
sample_encrypted_traffic.pcapng,1292,0.000167
sample_encrypted_traffic.pcapng,1292,0.000138
sample_encrypted_traffic.pcapng,77,0.000109
sample_encrypted_traffic.pcapng,1292,0.000241
sample_encrypted_traffic.pcapng,1292,0.000107
sample_encrypted_traffic.pcapng,1292,0.000159
sample_encrypted_traffic.pcapng,1292,0.000408
sample_encrypted_traffic.pcapng,1292,0.000144
sample_encrypted_traffic.pcapng,1292,0.000173
sample_encrypted_traffic.pcapng,1292,0.000142
sample_encrypted_traffic.pcapng,77,0.000044
sample_encrypted_traffic.pcapng,1292,0.000099
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000143
sample_encrypted_traffic.pcapng,1292,0.000314
sample_encrypted_traffic.pcapng,1292,0.000038
sample_encrypted_traffic.pcapng,1292,0.000093
sample_encrypted_traffic.pcapng,1292,0.000273
sample_encrypted_traffic.pcapng,77,0.000145
sample_encrypted_traffic.pcapng,1292,0.000016
sample_encrypted_traffic.pcapng,1292,0.000422
sample_encrypted_traffic.pcapng,1292,0.000138
sample_encrypted_traffic.pcapng,1292,0.000203
sample_encrypted_traffic.pcapng,1292,0.000107
sample_encrypted_traffic.pcapng,1292,0.000160
sample_encrypted_traffic.pcapng,1292,0.000145
sample_encrypted_traffic.pcapng,77,0.000006
sample_encrypted_traffic.pcapng,1292,0.000143
sample_encrypted_traffic.pcapng,1292,0.000147
sample_encrypted_traffic.pcapng,1292,0.000120
sample_encrypted_traffic.pcapng,1292,0.000149
sample_encrypted_traffic.pcapng,1292,0.000304
sample_encrypted_traffic.pcapng,1292,0.000162
sample_encrypted_traffic.pcapng,77,0.000139
sample_encrypted_traffic.pcapng,1292,0.000207
sample_encrypted_traffic.pcapng,1292,0.000160
sample_encrypted_traffic.pcapng,1292,0.000144
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,1292,0.000149
sample_encrypted_traffic.pcapng,1292,0.000164
sample_encrypted_traffic.pcapng,77,0.000124
sample_encrypted_traffic.pcapng,1292,0.000004
sample_encrypted_traffic.pcapng,1292,0.000147
sample_encrypted_traffic.pcapng,1292,0.000309
sample_encrypted_traffic.pcapng,78,0.018901
sample_encrypted_traffic.pcapng,73,0.000157
sample_encrypted_traffic.pcapng,1292,0.002835
sample_encrypted_traffic.pcapng,79,0.000483
sample_encrypted_traffic.pcapng,1292,0.008732
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,79,0.000258
sample_encrypted_traffic.pcapng,1292,0.000035
sample_encrypted_traffic.pcapng,79,0.000057
sample_encrypted_traffic.pcapng,79,0.000052
sample_encrypted_traffic.pcapng,1292,0.000805
sample_encrypted_traffic.pcapng,1292,0.000202
sample_encrypted_traffic.pcapng,1292,0.000188
sample_encrypted_traffic.pcapng,1292,0.000000
sample_encrypted_traffic.pcapng,1292,0.000177
sample_encrypted_traffic.pcapng,1292,0.000147
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000170
sample_encrypted_traffic.pcapng,1292,0.000139
sample_encrypted_traffic.pcapng,79,0.000004
sample_encrypted_traffic.pcapng,1292,0.000129
sample_encrypted_traffic.pcapng,1292,0.001111
sample_encrypted_traffic.pcapng,1292,0.000082
sample_encrypted_traffic.pcapng,1292,0.000128
sample_encrypted_traffic.pcapng,69,0.000000
sample_encrypted_traffic.pcapng,67,0.000000
sample_encrypted_traffic.pcapng,79,0.000028
sample_encrypted_traffic.pcapng,69,0.000031
sample_encrypted_traffic.pcapng,1292,0.000282
sample_encrypted_traffic.pcapng,1292,0.000151
sample_encrypted_traffic.pcapng,1292,0.000150
sample_encrypted_traffic.pcapng,1292,0.000154
sample_encrypted_traffic.pcapng,1292,0.000136
sample_encrypted_traffic.pcapng,1292,0.000158
sample_encrypted_traffic.pcapng,74,0.000128
sample_encrypted_traffic.pcapng,1292,0.000413
sample_encrypted_traffic.pcapng,1292,0.000168
sample_encrypted_traffic.pcapng,1292,0.000148
sample_encrypted_traffic.pcapng,1292,0.000132
sample_encrypted_traffic.pcapng,1292,0.00016
sample_encrypted_traffic.pcapng,1292,0.00013
sample_encrypted_traffic.pcapng,1292,0.000154
sample_encrypted_traffic.pcapng,1292,0.000155
sample_encrypted_traffic.pcapng,74,0.000132
sample_encrypted_traffic.pcapng,1292,0.000029
sample_encrypted_traffic.pcapng,1292,0.000134
